additionalInfos - nr,additionalInfos - namn,additionalInfos - namn2,additionalInfos - modul,additionalInfos - argang,additionalInfos - slutlev,additionalInfos - koscher,additionalInfos - volymiml,additionalInfos - ursprung,additionalInfos - producent,additionalInfos - saljstart,additionalInfos - artikelid,additionalInfos - sortiment,additionalInfos - varnummer,additionalInfos - varugrupp,additionalInfos - ekologisk,additionalInfos - leverantor,additionalInfos - alkoholhalt,additionalInfos - forpackning,additionalInfos - forslutning,additionalInfos - provadargang,additionalInfos - prisinklmoms,additionalInfos - prisperliter,additionalInfos - ursprunglandnamn
181903,Strongbow,,,, ,0,,,Stassen SA,2013-09-02,721551,FS,1819,"Cider, Torr och halvtorr",0,GL Brands AB,5%,Flaska,,,18.50,,Internationellt märke
1134803,Svart,,,, ,0,,"Uppsala län, Uppsala kommun",Gamla Slottskällans Bryggeri,2011-10-01,585076,FS,11348,"Öl, Porter och Stout",1,Gamla Slottskällans Bryggeri ,5.5%,Flaska,,,20.70,,Sverige
162601,Thornbridge,Jaipur India Pale Ale,,, ,0,,,Thornbridge Brewery,2013-03-01,707090,FS,1626,"Öl, Ale",0,Galatea Spirits AB,5.9%,Flaska,,,27.90,,Storbritannien
218002,Troppo,Merlot Cabernet,,2011, ,0,,Sicilien,Enjoy Wine & Spirits,2008-04-01,300846,FS,2180,"Rött vin, Fruktigt & Smakrikt",1,Enjoy Wine & Spirits AB,13.5%,Flaska,Skruvkapsyl,2011,44.00,,Italien
645901,Via del Campo,Blanco,,2013, ,0,,VdlT Castilla,San Antonio Abad Coop,2010-10-01,510475,FS,6459,"Vitt vin, Friskt & Fruktigt",1,Oenoforos AB,12.5%,Flaska,Skruvkapsyl,2013,64.00,,Spanien
667102,Viña Maipo,Chardonnay,,2013, ,0,,Valle Central,Viña Maipo,2002-10-07,37146,FS,6671,"Vitt vin, Friskt & Fruktigt",0,Concha y Toro Sweden AB,13%,Flaska,,2013,33.00,,Chile
152601,Weihenstephaner,Hefe Weissbier,,, ,0,,,Weihenstephan,1991-05-06,1119,FS,1526,"Öl, Veteöl",0,Galatea Spirits AB,5.4%,Flaska,,,20.90,,Tyskland
192201,Weihenstephaner,Hefeweissbier Alkoholfrei,,, ,0,,,Weihenstephan,2008-10-01,339014,FSÖ,1922,"Alkoholfritt, Öl",0,Galatea Spirits AB,0.4%,Flaska,,,12.90,,Tyskland
140003,Wisby,Klosteröl,,, ,0,,"Gotlands län, Gotland",Gotlands Bryggeri,2009-10-01,402935,FS,1400,"Öl, Ale",0,Spendrups Bryggeri AB,5%,Flaska,,,17.80,,Sverige
186602,Wyld Wood,Organic,,, ,0,,England,H Weston & Sons,2013-09-02,767115,FS,1866,"Cider, Torr och halvtorr",1,TOMP Beer Wine & Spirits AB,6%,Flaska,Naturkork,,27.90,,Storbritannien
171903,Xide Jungle,Passionfruit Habanero,,, ,0,,"Hallands län, Falkenbergs kommun",Carlsberg Sverige AB,2013-04-02,720056,FS,1719,Blanddrycker,0,Carlsberg Sverige AB,4.5%,Flaska,,,15.90,,Sverige
192003,Xide Non Alco,Lemon Dragonfruit,,, ,0,,"Hallands län, Falkenbergs kommun",Carlsberg Sverige AB,2013-04-02,720171,FSÖ,1920,"Alkoholfritt, Övrigt",0,Carlsberg Sverige AB,0.5%,Flaska,,,13.90,,Sverige
178503,Xide Pine Citrus,,,, ,0,,"Hallands län, Falkenbergs kommun",Carlsberg Sverige AB,2013-04-02,719935,FS,1785,Blanddrycker,0,Carlsberg Sverige AB,4.5%,Flaska,,,15.90,,Sverige
182603,Xide Wasabi Lemon,,,, ,0,,"Hallands län, Falkenbergs kommun",Carlsberg Sverige AB,2013-04-02,719918,FS,1826,Blanddrycker,0,Carlsberg Sverige AB,4.5%,Flaska,,,15.90,,Sverige
166703,Yeti,Imperial Stout,,, ,0,,,Great Divide Brewing Co,2010-10-01,506154,FS,1667,"Öl, Porter och Stout",0,Great Brands AB,9.5%,Flaska,,,33.90,,USA
160601,Young's Double Chocolate Stout,,,, ,0,,England,Young's & Co,2002-12-02,37154,FS,1606,"Öl, Porter och Stout",0,TOMP Beer Wine & Spirits AB,5.2%,Flaska,,,26.90,,Storbritannien
157803,Zeitgeist,Black Lager,,, ,0,,Skottland,BrewDog,2009-10-01,398048,FS,1578,"Öl, Mörk lager",1,Cask Sweden AB,4.7%,Flaska,,,18.50,,Storbritannien
148001,Zeunerts,Höga Kusten,,, ,0,,"Västernorrlands län, Sollefteå kommun",Kopparbergs/Sofiero Bryggeri,1998-01-05,14519,FS,1480,"Öl, Specialöl",0,KopparbergsSofiero Bryggeri,5.3%,Flaska,,,15.40,,Sverige
158201,Zlatopramen, Premium,,, ,0,,,Drinks Union,2003-06-02,41071,FS,1582,"Öl, Ljus lager",0,GL Brands AB,4.9%,Flaska,,,16.90,,Tjeckien
